ACTIVITY DATE,OWNER NAME,FACILITY ID,FACILITY NAME,PROGRAM STATUS,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,SCORE,GRADE,FULL ADDRESS
2018-09-11,"HIEDI DELI, INC",FA0244897,HIEDI'S CAFE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,44750 60TH ST,LANCASTER,93536,93,A,"44750 60TH ST, LANCASTER, CA 93536"
2018-07-17,CULINARY TRENDS LLC,FA0241518,CULINARY TRENDS,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,1156 N HIGHLAND AVE,LOS ANGELES,90038-1205,95,A,"1156 N HIGHLAND AVE, LOS ANGELES, CA 90038-1205"
2018-09-21,EL BUEN SABOR RESTAURANT INC,FA0259366,EL BUEN SABOR,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,4306 N FIGUEROA,LOS ANGELES,90065,94,A,"4306 N FIGUEROA, LOS ANGELES, CA 90065"
2018-07-30,"QUIROGA,RAUL",FA0012311,EL INDIO AZTECA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,19247 ROSCOE BLVD,NORTHRIDGE,91324,93,A,"19247 ROSCOE BLVD, NORTHRIDGE, CA 91324"
2018-07-19,NGUYEN THINH T,FA0068626,PHO ME LY,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,14351 S CLARK AVE,BELLFLOWER,90706,86,B,"14351 S CLARK AVE, BELLFLOWER, CA 90706"
2018-07-25,DASHENG ZHOU,FA0179734,MASTER ZHOU,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,8150 GARVEY AVE # 117G,ROSEMEAD,91770,94,A,"8150 GARVEY AVE # 117G, ROSEMEAD, CA 91770"
2018-05-07,"LEE, BYUNG J",FA0064828,KING FOOD,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,100 E PICO BLVD,LOS ANGELES,90015,92,A,"100 E PICO BLVD, LOS ANGELES, CA 90015"
2018-09-27,SO CAL DOMINOIDS INC.,FA0019128,DOMINO'S PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2484 LINCOLN BLVD,VENICE,90291,94,A,"2484 LINCOLN BLVD, VENICE, CA 90291"
2018-07-09,SAECULARIA LLC,FA0261818,BANH OUI,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1552 N CAHUENGA BLVD,LOS ANGELES,90028,94,A,"1552 N CAHUENGA BLVD, LOS ANGELES, CA 90028"
2018-09-06,"SUBS N WICH, INC",FA0263604,SUBS N WICH,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,901 W VICTORIA ST,RANCHO DOMINGUEZ,90220,90,A,"901 W VICTORIA ST, RANCHO DOMINGUEZ, CA 90220"
2018-08-29,ANI IFIKTCHYAN,FA0264005,BAKED LA,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,6027 RESEDA BLVD,TARZANA,91356,97,A,"6027 RESEDA BLVD, TARZANA, CA 91356"
2018-08-30,ANTONIO EVANGELISTA,FA0203646,TACOS Y MARISCOS SAHUAYO,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,1134 E ANAHEIM ST,WILMINGTON,90744,91,A,"1134 E ANAHEIM ST, WILMINGTON, CA 90744"
2018-09-13,"PHARCHUMPORN SHONKEAW, ET AL",FA0069465,RENU NAKORN RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,13019 ROSECRANS AVE STE #105,NORWALK,90650,92,A,"13019 ROSECRANS AVE STE #105, NORWALK, CA 90650"
2017-11-01,THE HARVEST BAR LLC,FA0160146,HARVEST  BAR,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,15030 VENTURA BLVD,SHERMAN OAKS,91403,93,A,"15030 VENTURA BLVD, SHERMAN OAKS, CA 91403"
2018-09-19,GREGORIO JUAREZ,FA0171805,RUBEN'S TACOS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,3100 IMPERIAL HWY # 06,LYNWOOD,90262,91,A,"3100 IMPERIAL HWY # 06, LYNWOOD, CA 90262"
2018-07-10,BURGER LOUNGE III LLC,FA0137756,BURGER LOUNGE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,11740 SAN VINCENTE BLVD #102,LOS ANGELES,90049,93,A,"11740 SAN VINCENTE BLVD #102, LOS ANGELES, CA 90049"
2018-09-21,LAKESIDE GOLF CLUB,FA0021294,LAKESIDE GOLF CLUMB RESTAURA,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,4500 W LAKESIDE DR,BURBANK,91505,93,A,"4500 W LAKESIDE DR, BURBANK, CA 91505"
2016-09-23,JOSE LUIS IRUME LOPEZ,FA0020958,EL NUEVO RENO NIGHT CLUB,ACTIVE,RESTAURANT (61-150) SEATS LOW RISK,1439 W FLORENCE AVE,LOS ANGELES,90047,97,A,"1439 W FLORENCE AVE, LOS ANGELES, CA 90047"
2018-08-24,"CHOE, YOUNG BIN",FA0016029,H K CHICKEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,124 N WESTERN AVE,LOS ANGELES,90004,98,A,"124 N WESTERN AVE, LOS ANGELES, CA 90004"
2018-06-05,"BOBA TIME , INC",FA0245630,BOBATIME-DEWEY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2848 W OLYMPIC BLVD,LOS ANGELES,90006,95,A,"2848 W OLYMPIC BLVD, LOS ANGELES, CA 90006"
2018-03-27,TEMPLE OF THE ARTS,FA0069932,SABAN THEATRE,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,8440 WILSHIRE BLVD,BEVERLY HILLS,90211,92,A,"8440 WILSHIRE BLVD, BEVERLY HILLS, CA 90211"
2018-07-11,"TOYA, JANIS",FA0069965,SAKURA RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,4545 S CENTINELA AVE,LOS ANGELES,90066,90,A,"4545 S CENTINELA AVE, LOS ANGELES, CA 90066"
2018-04-26,BL 12186 VENTURA CA LLC,FA0256111,BLUESTONE LANE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,12186 VENTURA BLVD,STUDIO CITY,93036,97,A,"12186 VENTURA BLVD, STUDIO CITY, CA 93036"
2018-09-26,ONE ONE DUMPLING LLC,FA0255872,ONE ONE DUMPLINGS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,704 W LAS TUNAS DR # 4,SAN GABRIEL,91776,95,A,"704 W LAS TUNAS DR # 4, SAN GABRIEL, CA 91776"
2018-07-30,RISEN BREAD LLC,FA0043205,PANERA BREAD,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,16624 VENTURA BLVD STE #C,ENCINO,91436,98,A,"16624 VENTURA BLVD STE #C, ENCINO, CA 91436"
2018-09-04,"GUATEMALTECA BAKERY, INC.",FA0251732,GUATEMALTECA BAKERY,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,5250 ATLANTIC BLVD,MAYWOOD,90270-2455,100,A,"5250 ATLANTIC BLVD, MAYWOOD, CA 90270-2455"
2018-08-27,GUILLERMO P FLORES,FA0171569,EL BORREGO MEXICAN RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,14916 HAWTHORNE BLVD,LAWNDALE,90260-1501,95,A,"14916 HAWTHORNE BLVD, LAWNDALE, CA 90260-1501"
2018-07-24,MELROSE RESTAURANT INC,FA0029453,HOT WINGS,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,7011 MELROSE AVE,LOS ANGELES,90038,96,A,"7011 MELROSE AVE, LOS ANGELES, CA 90038"
2018-04-26,"LUCABELLA, INC.",FA0165350,LUCABELLA FINE FOODS,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,216 GLENDORA AVE 100- 102,GLENDORA,91741,91,A,"216 GLENDORA AVE 100- 102, GLENDORA, CA 91741"
2018-06-05,SOCORROS RESTAURANT INC,FA0250658,SOCORROS RESTAURANT INC,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,14853 SHERMAN WAY,VAN NUYS,91405,92,A,"14853 SHERMAN WAY, VAN NUYS, CA 91405"
2018-07-25,TONY J HWANG,FA0072255,THE FLAME BROILER,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2121 W MAIN ST STE #200,ALHAMBRA,91801,93,A,"2121 W MAIN ST STE #200, ALHAMBRA, CA 91801"
2018-07-26,GALLERIA TONKATSU INC,FA0024370,GALLERIA TONKATSU,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,3250 W OLYMPIC BLVD STE #307,LOS ANGELES,90006,98,A,"3250 W OLYMPIC BLVD STE #307, LOS ANGELES, CA 90006"
2018-08-01,SKORUZ FOODS INC,FA0167168,CHENNAI TIFFINS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,21510 VICTORY BLVD,WOODLAND HILLS,91367-2423,90,A,"21510 VICTORY BLVD, WOODLAND HILLS, CA 91367-2423"
2018-07-19,SIZZLER USA RESTAURANTS INC,FA0033331,SIZZLER USA RESTAURANTS INC,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,5856 W MANCHESTER AVE,LOS ANGELES,90045,97,A,"5856 W MANCHESTER AVE, LOS ANGELES, CA 90045"
2018-05-03,GREEN TRUCK INC,FA0259292,TRUCK STOP,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,10100 VENICE BLVD,LOS ANGELES,90232,94,A,"10100 VENICE BLVD, LOS ANGELES, CA 90232"
2017-03-31,"MARTINEZ, APOLINAR JIMENEZ",FA0033450,LA MARIPOSA BAR&RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,9318 S BROADWAY,LOS ANGELES,90003,99,A,"9318 S BROADWAY, LOS ANGELES, CA 90003"
2018-05-21,"K1 SPEED, INC.",FA0020197,K1 SPEED,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,19038 S VERMONT AVE,GARDENA,90248,94,A,"19038 S VERMONT AVE, GARDENA, CA 90248"
2018-08-14,ONESIMO MENDEZ,FA0242572,EL ZARAPE MELROSE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,4809 MELROSE AVE,LOS ANGELES,90029,95,A,"4809 MELROSE AVE, LOS ANGELES, CA 90029"
2016-09-14,THE ROOM HOLLYWOOD LLC,FA0051679,THE ROOM,ACTIVE,RESTAURANT (31-60) SEATS LOW RISK,1626 N CAHUENGA BLVD,LOS ANGELES,90028,92,A,"1626 N CAHUENGA BLVD, LOS ANGELES, CA 90028"
2018-07-13,MARILYN PONCE FLORES,FA0238933,FRUTAS GO WILD,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,307 S AZUSA AVE,AZUSA,91702,94,A,"307 S AZUSA AVE, AZUSA, CA 91702"
2018-07-05,"GREEN TREE HEALTH FOODS, INC",FA0261506,GREEN TREE JUICERY,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,2810 PHELAN LN,REDONDO BEACH,90278,96,A,"2810 PHELAN LN, REDONDO BEACH, CA 90278"
2018-09-12,"ELITE RESTAURANT, INC",FA0061697,ELITE RESTAURANT,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,700 S ATLANTIC BLVD,MONTEREY PARK,91754,80,B,"700 S ATLANTIC BLVD, MONTEREY PARK, CA 91754"
2018-05-08,MINYING WU,FA0259356,LOUISIANA FRIED CHICKEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,4400 CENTRAL AVE,LOS ANGELES,90011,90,A,"4400 CENTRAL AVE, LOS ANGELES, CA 90011"
2018-09-12,ARACELY TOBIAS MONTUFAR,FA0249481,LA CASA CHAPINA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,501 N WESTERN AVE,LOS ANGELES,90004,93,A,"501 N WESTERN AVE, LOS ANGELES, CA 90004"
2018-05-02,FRATERNAL ORDER OF EAGLES,FA0001155,FRATERNAL ORDER OF EAGLES,ACTIVE,RESTAURANT (61-150) SEATS MODERATE RISK,13018 W WASHINGTON BLVD,LOS ANGELES,90066,98,A,"13018 W WASHINGTON BLVD, LOS ANGELES, CA 90066"
2018-09-06,LEMONADE RESTAURANT GROUP LLC,FA0021840,LEMONADE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,145 S BARRINGTON AVE,LOS ANGELES,90049,91,A,"145 S BARRINGTON AVE, LOS ANGELES, CA 90049"
2018-09-26,"TASTE OF MEXI CO., INC.",FA0156780,TASTE OF MEXI CO.,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,15223 GALE AVE,INDUSTRY,91745,91,A,"15223 GALE AVE, INDUSTRY, CA 91745"
2018-06-07,JADO PROPERTIES,FA0041845,MR STEVENS RESTAURANT,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,5332 STEVENS PL,COMMERCE,90040,94,A,"5332 STEVENS PL, COMMERCE, CA 90040"
2018-09-25,SASABUNE INC.,FA0202981,SASABUNE,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,101 N BRAND BLVD # 220,GLENDALE,91203,91,A,"101 N BRAND BLVD # 220, GLENDALE, CA 91203"
2018-06-27,CENTURY CITY HOSPITALITY INC,FA0017031,COURTYARD BY  MARRIOTT,ACTIVE,RESTAURANT (61-150) SEATS MODERATE RISK,10320 W OLYMPIC BLVD,LOS ANGELES,90064,93,A,"10320 W OLYMPIC BLVD, LOS ANGELES, CA 90064"
2018-04-20,LA BELLA PIZZA INC,FA0068996,PRONTO PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,14712 PARTHENIA ST # A-1,PANORAMA CITY,91402,94,A,"14712 PARTHENIA ST # A-1, PANORAMA CITY, CA 91402"
2018-04-26,"MARKKERN, CHIRAWAT",FA0043473,PAILIN THAI CUISINE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,5621 HOLLYWOOD BLVD,LOS ANGELES,90028,100,A,"5621 HOLLYWOOD BLVD, LOS ANGELES, CA 90028"
2018-08-23,ACE FILLY,FA0173730,PAPA  JOHNS PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1914 S GAREY AVE,POMONA,91766,96,A,"1914 S GAREY AVE, POMONA, CA 91766"
2018-02-28,PACIFIC DINING,FA0250392,PACIFIC DINING-EAST LA COLLEGE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,1301 AVENIDA CESAR CHAVEZ AVE,MONTEREY PARK,91754,99,A,"1301 AVENIDA CESAR CHAVEZ AVE, MONTEREY PARK, CA 91754"
2017-10-19,FASTNET HOLDING LLC,FA0137013,THE LASH,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,117 E WINSTON ST 104,LOS ANGELES,90013,96,A,"117 E WINSTON ST 104, LOS ANGELES, CA 90013"
2018-09-12,DAMEANITA POEUV,FA0158355,MACKAY'S DONUT,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2401 ARTESIA BLVD 101,REDONDO BEACH,90278,80,B,"2401 ARTESIA BLVD 101, REDONDO BEACH, CA 90278"
2018-04-19,TIERRA MIA COFFEE COMPANY,FA0251945,TIERRA MIA COFFEE COMPANY,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,1416 W BEVERLY BLVD,MONTEBELLO,90640,97,A,"1416 W BEVERLY BLVD, MONTEBELLO, CA 90640"
2018-08-07,MBM NOHO INC,FA0163214,AMECI PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,12450 BURBANK BLVD,VALLEY VILLAGE,91607,97,A,"12450 BURBANK BLVD, VALLEY VILLAGE, CA 91607"
2018-08-23,CMCS JUICE LP,FA0167527,JAMBA JUICE,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,10124 CARMENITA RD,SANTA FE SPRINGS,90605,99,A,"10124 CARMENITA RD, SANTA FE SPRINGS, CA 90605"
2018-04-19,SODEXO AMERICA LLC,FA0141420,MATTEL TOYS CAFETERIA,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,333 CONTINENTAL BLVD,EL SEGUNDO,90245-5032,90,A,"333 CONTINENTAL BLVD, EL SEGUNDO, CA 90245-5032"
2017-04-20,OLMOS JOSE,FA0042485,OLMOS' BAR,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,3721 E WHITTIER BLVD,LOS ANGELES,90023,95,A,"3721 E WHITTIER BLVD, LOS ANGELES, CA 90023"
2018-05-09,"HAIL CHEESER, INC.",FA0068994,PRONTO PIZZA,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,128 W PACIFIC COAST HWY # D,WILMINGTON,90744,96,A,"128 W PACIFIC COAST HWY # D, WILMINGTON, CA 90744"
2018-08-27,WINDER VLADIMIR GONZALEZ PALMA,FA0255239,MI BANDERA PUPUSERIA Y RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,3419 S SAN PEDRO ST,LOS ANGELES,90011,94,A,"3419 S SAN PEDRO ST, LOS ANGELES, CA 90011"
2018-09-06,"FLEUR DEL MAR, INC.",FA0149287,XEVICHEZ SUSHI BAR,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,14117 HUBBARD ST STE A,SYLMAR,91342,84,B,"14117 HUBBARD ST STE A, SYLMAR, CA 91342"
2018-08-02,"BRIGHT HAPPY ANGELS, LLC",FA0178708,MENCHIE'S,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,8815 S SEPULVEDA BLVD,LOS ANGELES,90045,93,A,"8815 S SEPULVEDA BLVD, LOS ANGELES, CA 90045"
2018-08-01,"GRILLO, ANTHONY",FA0030834,ROCCO'S DELI ITALIANO,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2420 E 28TH ST STE 1,SIGNAL HILL,90755,86,B,"2420 E 28TH ST STE 1, SIGNAL HILL, CA 90755"
2018-09-13,GOOD TREATS LLC,FA0260158,DUNKIN',ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,200 S GLENOAKS BLVD,BURBANK,91502,93,A,"200 S GLENOAKS BLVD, BURBANK, CA 91502"
2018-07-18,ALA LANGOSTA BORRACHA,FA0180064,LA LANGOSTA RANCHERA,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,5862 WHITTIER BLVD,EAST LOS ANGELES,90022,97,A,"5862 WHITTIER BLVD, EAST LOS ANGELES, CA 90022"
2018-09-28,ANTIGUA COFFEE ROASTERS OF NELA LLC,FA0259399,ANTIGUA COFFEE ROASTERS OF WEHO,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,625 N SAN VICENTE BLVD,WEST HOLLYWOOD,90069,90,A,"625 N SAN VICENTE BLVD, WEST HOLLYWOOD, CA 90069"
2018-07-20,GREENS UP WESTLAKE LLC,FA0165333,GREENS UP,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,30760 RUSSELL RANCH RD UNIT #B,WESTLAKE VILLAGE,91362,97,A,"30760 RUSSELL RANCH RD UNIT #B, WESTLAKE VILLAGE, CA 91362"
2016-12-02,EL PASEO NIGHT CLUB INC,FA0021071,EL PASEO NIGHT CLUB,ACTIVE,RESTAURANT (61-150) SEATS LOW RISK,13293 VAN NUYS BLVD,PACOIMA,91331,96,A,"13293 VAN NUYS BLVD, PACOIMA, CA 91331"
2018-06-12,"UNG, NELSON",FA0049537,SUN DONUT,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,3484 E CESAR E CHAVEZ AVE,LOS ANGELES,90063,95,A,"3484 E CESAR E CHAVEZ AVE, LOS ANGELES, CA 90063"
2018-07-11,"TENMIMI, INC",FA0223043,TENMIMI,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2327 HONOLULU AVE,MONTROSE,91020,95,A,"2327 HONOLULU AVE, MONTROSE, CA 91020"
2018-08-24,CHAVEZ MARISELA CARO,FA0023825,MARISCOS MAZATLAN MEXICAN,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,13345 E TELEGRAPH RD STE #D,WHITTIER,90605,98,A,"13345 E TELEGRAPH RD STE #D, WHITTIER, CA 90605"
2018-08-14,BH SPICE COMPANY,FA0240995,BEVERLY HILLS THAI KOSHER,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,9036 BURTON WAY,BEVERLY HILLS,90211,90,A,"9036 BURTON WAY, BEVERLY HILLS, CA 90211"
2018-07-13,FOGO DE CHAO CHURRASCARIA LOS ANGELES LLC,FA0013836,FOGO DE CHAO,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,133 N LA CIENEGA BLVD,BEVERLY HILLS,90211,91,A,"133 N LA CIENEGA BLVD, BEVERLY HILLS, CA 90211"
2018-08-15,CHAVEZ SAMUEL,FA0057772,ASI ES MI TIERRA RESTAURANT,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,17529 SIERRA HWY # 13,CANYON COUNTRY,91351,92,A,"17529 SIERRA HWY # 13, CANYON COUNTRY, CA 91351"
2018-06-25,BOARDWALK HOSPITALITY INC,FA0258853,BEN AND JERRY'S,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,1307 OCEAN FRONT WALK,VENICE,90291,91,A,"1307 OCEAN FRONT WALK, VENICE, CA 90291"
2018-09-12,"M TOGETHER, INC.",FA0028345,PHO 2000,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,17801 S PIONEER BLVD # L & M,ARTESIA,90701-3962,97,A,"17801 S PIONEER BLVD # L & M, ARTESIA, CA 90701-3962"
2018-09-26,CATALINA ISLAND CO.,FA0138462,AVALON GRILL,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,423 CRESCENT ST,AVALON,90704,87,B,"423 CRESCENT ST, AVALON, CA 90704"
2018-06-22,UCLAWP LLC,FA0138414,WOLFGANG PUCK EXPRESS,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,308 WESTWOOD PLZ # 1390L,LOS ANGELES,90024,96,A,"308 WESTWOOD PLZ # 1390L, LOS ANGELES, CA 90024"
2018-09-11,TREMINIO INC,FA0149309,EL CAFETAL,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,4929 SANTA MONICA BLVD,LOS ANGELES,90029,93,A,"4929 SANTA MONICA BLVD, LOS ANGELES, CA 90029"
2018-08-20,"KARATZIAS, SAM",FA0014924,CHRIS'S BURGERS,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,13737 E AMAR RD,LA PUENTE,91746,98,A,"13737 E AMAR RD, LA PUENTE, CA 91746"
2018-05-21,NCC INTERNATIONAL LLC,FA0072021,TEN SHABU,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,1015 S GLENDORA AVE,WEST COVINA,91790,93,A,"1015 S GLENDORA AVE, WEST COVINA, CA 91790"
2018-07-13,PALMDALE LODGING ASSTS LLC,FA0150150,FOURTEEN RESTAURANT & LOUNGE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,39375 5TH ST W,PALMDALE,93551,99,A,"39375 5TH ST W, PALMDALE, CA 93551"
2018-07-10,AMFEX CORP,FA0137440,ICHIMIAN/BAMBOO GARDEN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2537 PACIFIC COAST HWY,TORRANCE,90505,93,A,"2537 PACIFIC COAST HWY, TORRANCE, CA 90505"
2018-08-15,"UDUMBARA, INC.",FA0251790,BARK COFFEE,ACTIVE,RESTAURANT (31-60) SEATS MODERATE RISK,13120 PHILADELPHIA ST,WHITTIER,90601-4301,95,A,"13120 PHILADELPHIA ST, WHITTIER, CA 90601-4301"
2018-03-29,TRRK FOODS INC,FA0049428,SUBWAY S-683,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,300 W MANCHESTER BLVD # #101,INGLEWOOD,90301,95,A,"300 W MANCHESTER BLVD # #101, INGLEWOOD, CA 90301"
2018-04-10,"SODEXCO AMERICA,  LLC",FA0242592,HAGELBARGER'S,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,150 E 10TH ST,CLAREMONT,91711,91,A,"150 E 10TH ST, CLAREMONT, CA 91711"
2018-08-10,TGH ENTERPRISES LLC,FA0073147,URBANE CAFE,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,29145 CANWOOD ST STE A-2,AGOURA HILLS,91301,97,A,"29145 CANWOOD ST STE A-2, AGOURA HILLS, CA 91301"
2018-08-08,YOGURT HAVEN INC,FA0037812,THE YOGURT HAVEN SHOP,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,2256 COLORADO BLVD,LOS ANGELES,90041,95,A,"2256 COLORADO BLVD, LOS ANGELES, CA 90041"
2018-07-11,"VASQUEZ, JESUS",FA0021485,EL TACORIN,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,8215 S BROADWAY,LOS ANGELES,90003,94,A,"8215 S BROADWAY, LOS ANGELES, CA 90003"
2018-07-10,"LUU, HA XUYEN",FA0055556,YUMMI CHINESE FAST FOOD,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,10123 E VALLEY BLVD,EL MONTE,91731,80,B,"10123 E VALLEY BLVD, EL MONTE, CA 91731"
2018-07-31,DOJO SUSHI LLC,FA0176836,DOJO SUSHI,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,14423 VENTURA BLVD,SHERMAN OAKS,91423,95,A,"14423 VENTURA BLVD, SHERMAN OAKS, CA 91423"
2018-06-21,"SHARKS COVE, INC",FA0070360,SHARKS COVE REST & SPTS LNGE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,309 MANHATTAN BEACH BLVD,MANHATTAN BEACH,90266,90,A,"309 MANHATTAN BEACH BLVD, MANHATTAN BEACH, CA 90266"
2018-07-25,"KAGAYA, MASATO",FA0052115,TOKYO BEAT RESTAURANT,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,319 E 2ND ST STE #205,LOS ANGELES,90012,96,A,"319 E 2ND ST STE #205, LOS ANGELES, CA 90012"
2018-09-05,"THAI HOUSE EXPRESS, INC.",FA0072072,THAI HOUSE EXPRESS,ACTIVE,RESTAURANT (0-30) SEATS HIGH RISK,2099 S ATLANTIC BLVD STE #F,MONTEREY PARK,91754,90,A,"2099 S ATLANTIC BLVD STE #F, MONTEREY PARK, CA 91754"
2018-08-20,FRANFREDO INC.,FA0243450,MEXSAKE,ACTIVE,RESTAURANT (61-150) SEATS HIGH RISK,13727 VICTORY BLVD,VAN NUYS,91401,93,A,"13727 VICTORY BLVD, VAN NUYS, CA 91401"
2018-04-27,PRESSED JUICERY LLC,FA0242036,PRESSED JUICERY,ACTIVE,RESTAURANT (0-30) SEATS MODERATE RISK,23500 PARK SORRENTO DR # A3,CALABASAS,91302,98,A,"23500 PARK SORRENTO DR # A3, CALABASAS, CA 91302"
2018-09-12,"LUZ,LIONEL AND ROSA DBA",FA0007947,CASA LUZ,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,2975 E FLORENCE AVE,HUNTINGTON PARK,90255,96,A,"2975 E FLORENCE AVE, HUNTINGTON PARK, CA 90255"
2018-07-24,CANDLEWOOD COUNTRY CLUB,FA0001588,CANDLEWOOD COUNTRY CLUB,ACTIVE,RESTAURANT (151 + ) SEATS HIGH RISK,14000 TELEGRAPH RD,WHITTIER,90604,96,A,"14000 TELEGRAPH RD, WHITTIER, CA 90604"
2018-06-08,GUADALUPE ZARATE,FA0057865,AZTECA MEXICAN TACOS,ACTIVE,RESTAURANT (31-60) SEATS HIGH RISK,856 W PALMDALE BLVD,PALMDALE,93551,84,B,"856 W PALMDALE BLVD, PALMDALE, CA 93551"
2018-04-05,EAGLEHS LODGE INC,FA0061219,EAGLE'S LODGE,ACTIVE,RESTAURANT (0-30) SEATS LOW RISK,1596 YOSEMITE DR,LOS ANGELES,90041,97,A,"1596 YOSEMITE DR, LOS ANGELES, CA 90041"
